x,y,distance,install_type,is_24h,has_restricted_hours
126.973404342,37.535427388,2875.15954,수동식|,False,False
126.973432828,37.535400474,2877.721883,,False,False
126.973862442,37.5362767,2788.573122,수동식|,False,False
126.973874156,37.536220418,2794.16416,,False,False
126.950061398,37.533628703,3922.198259,,False,False
127.062610605,37.514503711,10096.488307,,False,False
127.046069378,37.511110784,8892.390156,,False,False
127.060862564,37.493218388,11160.709057,,False,False
127.060414692,37.499425968,10741.073464,,False,False
127.059818805,37.500478904,10630.179041,,False,False
127.059507044,37.501069259,10569.892475,,False,False
127.058820781,37.502335361,10439.442813,,False,False
127.05902924,37.502839774,10426.508451,,False,False
127.087253924,37.490212857,13467.075587,,False,False
127.051706939,37.512795319,9256.425881,,False,False
127.053035734,37.513870717,9308.74691,,False,False
127.052847093,37.5127726,9352.746586,,False,False
126.950044437,37.533626371,3923.445149,수동식|,False,False
127.031392239,37.498905414,8643.745087,,False,False
127.029675043,37.513849862,7451.784358,,False,False
126.970542873,37.546726541,1791.13674,수동식|,False,False
126.970537165,37.546733275,1790.614145,,False,False
127.06022,37.66127,12940.950516,기계식|,False,False
127.067855682,37.65747438,13186.490273,기계식|,False,False
127.051530035,37.666897737,12829.933773,기계식|,False,False
127.051850681,37.678627553,13805.111101,기계식|,False,False
127.050394938,37.66945095,12968.720324,기계식|,False,False
127.07246239,37.659671768,13668.529807,기타|무인|무인|무인|무인|무인|,False,False
127.074171199,37.661328025,13906.503051,기계식|,False,False
127.072777797,37.66013773,13723.658178,기계식|,False,False
127.082290127,37.48195583,13539.790595,,False,False
127.079744046,37.538421436,10815.387682,,False,False
126.929353241,37.517430068,6510.473988,수동식|,False,False
126.994547661,37.520338736,4809.942829,수동식|,False,False
126.994556057,37.520352292,4809.054804,,False,False
127.007653519,37.491266742,7998.895718,,False,False
126.98937861,37.51996272,4656.31197,수동식|,False,False
126.989305117,37.519953389,4654.885544,,False,False
127.085227162,37.481354377,13810.312822,,False,False
127.089335934,37.483901561,13993.697049,,False,False
126.972708344,37.552288542,1202.667818,수동식|,False,False
126.972674349,37.552292896,1202.804829,,False,False
126.972445497,37.554243294,1015.889204,수동식|,False,False
126.972424389,37.554226299,1018.015304,,False,False
127.038195128,37.473507061,11067.252887,,False,False
127.065308574,37.614998426,10390.564094,기계식|,False,False
127.075821026,37.492600404,12387.823789,,False,False
127.051741321,37.499003537,10089.696339,,False,False
127.051244262,37.500064127,9983.380505,,False,False
127.049814223,37.503177389,9674.997135,,False,False
127.040864152,37.527549429,7561.718372,,False,False
127.04998823,37.505052878,9571.593552,,False,False
127.049858498,37.504518329,9594.523239,,False,False
127.048935519,37.504194826,9542.681778,,False,False
127.04913787,37.503940964,9574.376695,,False,False
127.048144791,37.503986745,9494.466309,,False,False
127.048093787,37.50447103,9459.895028,,False,False
127.048851102,37.505062061,9481.831046,,False,False
126.895161497,37.533619419,8519.210336,기계식|,False,False
126.894202401,37.537974774,8464.160295,수동식|,False,False
126.882287716,37.48167773,12385.790833,수동식|,False,False
126.894748634,37.532887211,8584.161819,기계식|,False,False
127.043221645,37.510277317,8716.746554,기타|태양광 공기주입기|,False,False
127.04350598,37.510037303,8753.93337,,False,False
127.043580296,37.510375599,8738.918816,,False,False
127.070392006,37.62506475,11343.951571,기계식|,False,False
127.062007798,37.611009047,9909.235581,,False,False
126.982206793,37.520175988,4461.099377,,False,False
127.107093225,37.469232522,16290.677584,,False,False
127.094675467,37.471722289,15145.360419,,False,False
127.096563289,37.472266752,15262.506716,,False,False
127.104334607,37.462926147,16447.703827,,False,False
127.101313521,37.4632833,16188.372688,,False,False
127.103125123,37.460166162,16524.810153,,False,False
